Name,Country,Field of Expertise,IQ,Achievements,Birth Year,Gender,Notable Works,Awards,Education,Influence
Roger Penrose,USA,Chemistry,156,Quantum Mechanics,1933,Male,Bohr Model,Copley Medal,Ph.D.,Foundational work in quantum mechanics
Roger Penrose,UK,Engineering,185,General Theory of Relativity,1912,Male,Fermi Paradox,N/A,Ph.D. in Chemistry,Major advancements in astronomy
Albert Einstein,UK,Engineering,164,Laws of Motion,1938,Male,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,University of Cambridge,Revolutionized modern physics
Galileo Galilei,Italy,Astronomy,151,Father of Computer Science,1988,Female,Research on radioactivity,Nobel Prize,University of Pisa,Major advancements in astronomy
Stephen Hawking,UK,Physics,168,Nuclear Reactor,1976,Female,Theory of Electromagnetism,Nobel Prize,University of Pisa,Quantum electrodynamics and physics teaching
Charles Darwin,USA,Astronomy,147,Father of Computer Science,1902,Female,Dialogue Concerning the Two Chief World Systems,N/A,University of Pisa,Foundational work in quantum mechanics
Max Planck,Denmark,Chemistry,194,Laws of Motion,1972,Female,Research on radioactivity,N/A,Ph.D. in Physics,Unified theory of electromagnetism
Charles Darwin,Italy,Mathematics,130,Nuclear Reactor,1925,Female,Quantum Theory,Numerous Honors,Ph.D. in Chemistry,Foundation of classical mechanics
Max Planck,Italy,Physics,169,First computer algorithm,1942,Female,A Brief History of Time,Copley Medal,Self-taught,Foundation of classical mechanics
Isaac Newton,UK,Physics,162,Electromagnetic Theory,1947,Male,E=mc²,Nobel Prize,Ph.D. in Chemistry,Quantum electrodynamics and physics teaching
Richard Feynman,USA,Polymath,141,Quantum Electrodynamics,1913,Female,Bohr Model,Royal Medal,Ph.D. in Mathematics,Major advancements in astronomy
Charles Darwin,USA,Physics,181,Electromagnetic Theory,1976,Male,Research on radioactivity,Nobel Prize,Ph.D. in Physics,Developed quantum theory
Richard Feynman,Italy,Biology,169,Father of Computer Science,1932,Female,Penrose Diagram,N/A,Ph.D. in Chemistry,Developed quantum theory
Niels Bohr,Germany,Mathematics,141,Discovery of Radium and Polonium,1902,Female,Cosmos,Royal Medal,University of Cambridge,Foundational work in quantum mechanics
Alan Turing,USA,Mathematics,162,Heliocentric Theory,1902,Male,Theory of Electromagnetism,Nobel Prize,Ph.D. in Chemistry,Popularizing science and cosmology
Galileo Galilei,USA,Physics,141,"Mona Lisa, The Last Supper, Inventions",1901,Female,On the Origin of Species,Nobel Prize,Ph.D.,Wave mechanics in quantum physics
Alan Turing,Denmark,Mathematics,135,Quantum Mechanics,1952,Male,Notes on the Analytical Engine,Royal Medal,Ph.D. in Physics,Foundational work in quantum mechanics
Stephen Hawking,UK,Physics,173,"Mona Lisa, The Last Supper, Inventions",1968,Male,Fermi Paradox,Numerous Posthumous,Ph.D. in Chemistry,Nuclear physics and reactor development
Ada Lovelace,USA,Chemistry,165,Cosmos Series,1913,Female,Feynman Lectures,Nobel Prize,Ph.D. in Mathematics,Penrose's work on black holes and cosmology
James Clerk Maxwell,UK,Physics,183,Quantum Mechanics,1936,Male,On Computable Numbers,N/A,Ph.D. in Chemistry,Foundational work in quantum mechanics
Nikola Tesla,Denmark,Mathematics,157,First computer algorithm,1912,Female,Notes on the Analytical Engine,Nobel Prize,Self-taught,Nuclear physics and reactor development
Leonardo da Vinci,USA,Physics,170,Wave Equation,1973,Male,Cosmos,Nobel Prize,University of Pisa,Foundational work in quantum mechanics
Roger Penrose,UK,Chemistry,160,Heliocentric Theory,1990,Male,Penrose Diagram,Nobel Prize,Ph.D. in Mathematics,Iconic Renaissance artist and inventor
Enrico Fermi,France,Polymath,193,Theory of Evolution,1990,Male,Bohr Model,N/A,University of Cambridge,Major advancements in astronomy
Charles Darwin,UK,Mathematics,169,"Mona Lisa, The Last Supper, Inventions",1948,Female,Bohr Model,N/A,Ph.D. in Physics,Early pioneer of computer science
Roger Penrose,UK,Mathematics,196,Heliocentric Theory,1981,Female,Dirac Equation,Two Nobel Prizes,Ph.D. in Physics,Major advancements in astronomy
Max Planck,Italy,Physics,198,Quantum Mechanics,1905,Male,Fermi Paradox,Pulitzer Prize,Ph.D. in Physics,Laid the groundwork for modern computing
Charles Darwin,UK,Astronomy,178,General Theory of Relativity,1993,Male,Feynman Lectures,Nobel Prize,Ph.D. in Physics,Pioneering research in radioactivity
Richard Feynman,USA,Chemistry,141,"AC Electricity, Tesla Coil",1921,Female,Penrose Diagram,Nobel Prize,University of Pisa,Quantum electrodynamics and physics teaching
Michael Faraday,UK,Mathematics,191,Electromagnetic Induction,1919,Male,Vitruvian Man,Numerous Posthumous,Self-taught,Wave mechanics in quantum physics
James Clerk Maxwell,UK,Mathematics,178,Heliocentric Theory,1990,Male,Vitruvian Man,Two Nobel Prizes,Self-taught,Laid the groundwork for modern computing
Stephen Hawking,USA,Physics,131,Laws of Motion,1974,Male,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Ph.D. in Physics,Pioneering research in radioactivity
Paul Dirac,Denmark,Physics,189,Heliocentric Theory,1931,Female,Dirac Equation,Royal Medal,Ph.D. in Physics,Major advancements in astronomy
Marie Curie,USA,Physics,158,Electromagnetic Theory,1921,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,University of Cambridge,Foundation of classical mechanics
Richard Feynman,France,Chemistry,198,Heliocentric Theory,1979,Female,Quantum Theory,Royal Medal,Ph.D. in Mathematics,Revolutionized modern physics
Alan Turing,UK,Chemistry,141,General Theory of Relativity,1910,Male,Penrose Diagram,Nobel Prize,Ph.D. in Physics,Nuclear physics and reactor development
Paul Dirac,UK,Physics,169,Wave Equation,1949,Female,Research on radioactivity,Nobel Prize,University of Cambridge,Contributions to cosmology and quantum gravity
Galileo Galilei,Denmark,Physics,153,Laws of Motion,1996,Male,Philosophiæ Naturalis Principia Mathematica,N/A,Ph.D. in Mathematics,Developed quantum theory
Nikola Tesla,France,Mathematics,155,Cosmos Series,1947,Male,Penrose Diagram,Nobel Prize,Ph.D. in Mathematics,Nuclear physics and reactor development
Max Planck,Germany,Physics,199,Wave Equation,1979,Male,Research on radioactivity,N/A,Ph.D. (honorary),Revolutionized modern physics
Max Planck,UK,Physics,187,Electromagnetic Theory,1916,Male,Cosmos,Nobel Prize,Ph.D. in Mathematics,Developed quantum theory
Roger Penrose,UK,Astronomy,148,Black Hole Theory,1907,Female,Fermi Paradox,Numerous Honors,Self-taught,Unified theory of electromagnetism
Roger Penrose,USA,Physics,144,First computer algorithm,1985,Male,Notes on the Analytical Engine,Numerous Honors,Ph.D. in Physics,Revolutionized modern physics
Stephen Hawking,UK,Mathematics,191,Father of Computer Science,1963,Male,Notes on the Analytical Engine,Nobel Prize,Ph.D. in Mathematics,Inventor and electrical engineering pioneer
Enrico Fermi,Italy,Physics,153,Laws of Motion,1927,Female,Vitruvian Man,Numerous Posthumous,Self-taught,Unified theory of electromagnetism
Richard Feynman,Austria,Physics,151,Electromagnetic Theory,1999,Female,Theory of Electromagnetism,Numerous Honors,Ph.D. in Physics,Contributions to cosmology and quantum gravity
Richard Feynman,UK,Biology,174,Father of Computer Science,1996,Male,Research on radioactivity,Nobel Prize,Ph.D. (honorary),Popularizing science and cosmology
Nikola Tesla,Germany,Physics,194,General Theory of Relativity,1971,Male,On Computable Numbers,Nobel Prize,University of Cambridge,Iconic Renaissance artist and inventor
Stephen Hawking,UK,Physics,169,Quantum Mechanics,1954,Male,Dialogue Concerning the Two Chief World Systems,Numerous Honors,Self-taught,Popularizing science and cosmology
Max Planck,Italy,Physics,130,First computer algorithm,1912,Male,E=mc²,N/A,Ph.D. in Physics,Discovery of electromagnetic induction
Paul Dirac,UK,Physics,134,Quantum Theory,1927,Female,Penrose Diagram,Copley Medal,Ph.D. in Astronomy,Popularizing science and cosmology
Marie Curie,France,Polymath,183,Laws of Motion,1949,Female,Dirac Equation,Nobel Prize,Ph.D. (honorary),Inventor and electrical engineering pioneer
Michael Faraday,UK,Physics,190,"Mona Lisa, The Last Supper, Inventions",1944,Male,Research on radioactivity,Nobel Prize,Ph.D. in Chemistry,Evolutionary biology pioneer
Albert Einstein,Denmark,Physics,130,Theory of Evolution,1907,Male,Philosophiæ Naturalis Principia Mathematica,Numerous Posthumous,Ph.D. in Physics,Foundational work in quantum mechanics
Niels Bohr,USA,Physics,139,Cosmos Series,1930,Female,Cosmos,Nobel Prize,Ph.D. in Physics,Developed quantum theory
Michael Faraday,USA,Astronomy,161,Laws of Motion,1988,Male,Theory of Electromagnetism,Numerous Honors,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Niels Bohr,Italy,Physics,189,Quantum Mechanics,1996,Male,A Brief History of Time,Nobel Prize,Ph.D. in Physics,Wave mechanics in quantum physics
Paul Dirac,USA,Astronomy,164,Quantum Mechanics,1914,Male,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Physics,Evolutionary biology pioneer
Stephen Hawking,UK,Physics,185,Quantum Mechanics,1984,Male,Fermi Paradox,Nobel Prize,Self-taught,Contributions to cosmology and quantum gravity
Alan Turing,UK,Physics,147,General Theory of Relativity,1938,Male,Quantum Theory,Numerous Honors,Ph.D. in Physics,Foundation of classical mechanics
Isaac Newton,USA,Mathematics,148,Father of Computer Science,1907,Female,Dirac Equation,Royal Medal,Ph.D. in Physics,Foundational work in quantum mechanics
Galileo Galilei,France,Engineering,140,Nuclear Reactor,1907,Female,Bohr Model,Nobel Prize,Ph.D. in Physics,Foundational work in quantum mechanics
Max Planck,USA,Physics,198,Father of Computer Science,1913,Male,Dirac Equation,Pulitzer Prize,Ph.D. in Mathematics,Popularizing science and cosmology
Stephen Hawking,UK,Chemistry,197,Black Hole Theory,1936,Male,A Brief History of Time,Copley Medal,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Niels Bohr,USA,Astronomy,197,Electromagnetic Theory,1983,Female,Bohr Model,N/A,Self-taught,Laid the groundwork for modern computing
Ada Lovelace,Denmark,Mathematics,196,First computer algorithm,1909,Female,Vitruvian Man,Nobel Prize,Ph.D. in Astronomy,Inventor and electrical engineering pioneer
Marie Curie,UK,Biology,200,Black Hole Theory,1941,Female,Quantum Theory,Numerous Posthumous,Ph.D. in Astronomy,Early pioneer of computer science
Enrico Fermi,Denmark,Physics,177,Cosmos Series,1944,Female,Bohr Model,Nobel Prize,Ph.D. in Mathematics,Evolutionary biology pioneer
Stephen Hawking,USA,Physics,139,General Theory of Relativity,1959,Male,Vitruvian Man,N/A,Ph.D. in Mathematics,Inventor and electrical engineering pioneer
Paul Dirac,USA,Mathematics,148,Electromagnetic Induction,1928,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Self-taught,Penrose's work on black holes and cosmology
Nikola Tesla,UK,Physics,139,Father of Computer Science,1953,Male,A Brief History of Time,Numerous Honors,Ph.D. in Physics,Penrose's work on black holes and cosmology
Paul Dirac,UK,Physics,161,General Theory of Relativity,1960,Female,Dirac Equation,Pulitzer Prize,Self-taught,Early pioneer of computer science
Marie Curie,UK,Physics,166,Nuclear Reactor,1908,Male,Vitruvian Man,Nobel Prize,Ph.D. in Physics,Wave mechanics in quantum physics
Galileo Galilei,Italy,Mathematics,136,"Mona Lisa, The Last Supper, Inventions",1939,Male,Penrose Diagram,Nobel Prize,Self-taught,Discovery of electromagnetic induction
Albert Einstein,Italy,Physics,182,Electromagnetic Theory,1997,Female,Fermi Paradox,Pulitzer Prize,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Carl Sagan,Denmark,Biology,138,Quantum Theory,1922,Male,Bohr Model,N/A,Ph.D. in Astronomy,Revolutionized modern physics
Paul Dirac,Germany,Astronomy,175,Quantum Theory,1972,Male,Quantum Theory,Nobel Prize,Ph.D. in Physics,Foundational work in quantum mechanics
Galileo Galilei,Germany,Physics,150,Quantum Electrodynamics,1909,Male,A Brief History of Time,Royal Medal,Self-taught,Wave mechanics in quantum physics
Roger Penrose,UK,Engineering,200,Laws of Motion,1951,Male,Penrose Diagram,Two Nobel Prizes,Ph.D. in Mathematics,Iconic Renaissance artist and inventor
Ada Lovelace,UK,Physics,148,"Mona Lisa, The Last Supper, Inventions",1932,Female,Philosophiæ Naturalis Principia Mathematica,Two Nobel Prizes,Ph.D. in Physics,Inventor and electrical engineering pioneer
Marie Curie,UK,Mathematics,192,Quantum Theory,1906,Female,Quantum Theory,Numerous Honors,Ph.D. in Mathematics,Foundational work in quantum mechanics
Max Planck,Italy,Astronomy,140,"AC Electricity, Tesla Coil",1937,Male,Vitruvian Man,Nobel Prize,Self-taught,Laid the groundwork for modern computing
Albert Einstein,Italy,Biology,162,Theory of Evolution,1968,Male,Vitruvian Man,Nobel Prize,Ph.D. in Physics,Discovery of electromagnetic induction
Nikola Tesla,Italy,Physics,197,Theory of Relativity,1983,Female,Dirac Equation,Copley Medal,Ph.D. in Physics,Evolutionary biology pioneer
Marie Curie,Denmark,Astronomy,151,Quantum Mechanics,1957,Male,Bohr Model,Copley Medal,Ph.D. (honorary),Laid the groundwork for modern computing
Isaac Newton,Austria,Astronomy,193,Quantum Mechanics,1993,Female,Various Patents,N/A,Ph.D. in Physics,Laid the groundwork for modern computing
Niels Bohr,UK,Astronomy,174,Father of Computer Science,1991,Male,Research on radioactivity,Numerous Posthumous,Ph.D.,Discovery of electromagnetic induction
Carl Sagan,UK,Polymath,143,Cosmos Series,1933,Female,Schrödinger Equation,Pulitzer Prize,University of Cambridge,Iconic Renaissance artist and inventor
Nikola Tesla,UK,Physics,182,First computer algorithm,1949,Male,Schrödinger Equation,Pulitzer Prize,Ph.D. in Chemistry,Early pioneer of computer science
Enrico Fermi,Italy,Physics,193,Electromagnetic Induction,1912,Male,Philosophiæ Naturalis Principia Mathematica,Pulitzer Prize,Self-taught,Discovery of electromagnetic induction
Leonardo da Vinci,USA,Physics,161,First computer algorithm,1936,Female,Vitruvian Man,Nobel Prize,Ph.D. in Physics,Popularizing science and cosmology
Alan Turing,USA,Physics,154,Theory of Evolution,1956,Female,A Brief History of Time,N/A,Ph.D.,Wave mechanics in quantum physics
Enrico Fermi,UK,Biology,195,Black Hole Theory,1921,Male,Fermi Paradox,N/A,Ph.D. in Physics,Laid the groundwork for modern computing
Marie Curie,UK,Biology,168,Laws of Motion,2000,Female,Bohr Model,Nobel Prize,University of Pisa,Foundational work in quantum mechanics
Erwin Schrödinger,USA,Chemistry,192,"AC Electricity, Tesla Coil",1936,Male,Cosmos,N/A,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Carl Sagan,Italy,Physics,171,Quantum Mechanics,1960,Female,On Computable Numbers,Nobel Prize,Ph.D. in Physics,Inventor and electrical engineering pioneer
Isaac Newton,USA,Chemistry,133,Black Hole Theory,1908,Male,Theory of Electromagnetism,N/A,Self-taught,Early pioneer of computer science
Marie Curie,USA,Engineering,131,Quantum Theory,1923,Female,Penrose Diagram,Numerous Honors,Self-taught,Revolutionized modern physics
Marie Curie,Denmark,Physics,189,Theory of Relativity,1978,Male,Research on radioactivity,Pulitzer Prize,Self-taught,Early pioneer of computer science
Nikola Tesla,Denmark,Physics,150,Electromagnetic Theory,1955,Male,Cosmos,Nobel Prize,Ph.D. in Chemistry,Foundational work in quantum mechanics
Carl Sagan,UK,Physics,169,Wave Equation,1924,Female,Fermi Paradox,Nobel Prize,Ph.D.,Laid the groundwork for modern computing
Marie Curie,Germany,Physics,145,Heliocentric Theory,1988,Female,On Computable Numbers,Nobel Prize,Ph.D. in Physics,Popularizing science and cosmology
Carl Sagan,UK,Physics,169,Quantum Theory,1976,Male,Feynman Lectures,N/A,Ph.D. in Mathematics,Revolutionized modern physics
Michael Faraday,UK,Chemistry,151,Black Hole Theory,1972,Female,Philosophiæ Naturalis Principia Mathematica,Pulitzer Prize,Ph.D. in Physics,Discovery of electromagnetic induction
Richard Feynman,UK,Mathematics,136,Quantum Theory,1993,Male,Philosophiæ Naturalis Principia Mathematica,Numerous Honors,Ph.D. in Chemistry,Early pioneer of computer science
James Clerk Maxwell,USA,Physics,175,Quantum Mechanics,1933,Female,Schrödinger Equation,Royal Medal,Ph.D. in Physics,Contributions to cosmology and quantum gravity
Alan Turing,USA,Physics,185,Electromagnetic Theory,1989,Male,E=mc²,Nobel Prize,Ph.D. in Mathematics,Major advancements in astronomy
Galileo Galilei,UK,Physics,137,Cosmos Series,1919,Male,Notes on the Analytical Engine,N/A,Self-taught,Popularizing science and cosmology
Charles Darwin,UK,Polymath,184,Theory of Evolution,1954,Female,On the Origin of Species,Nobel Prize,Ph.D. in Physics,Wave mechanics in quantum physics
Charles Darwin,UK,Mathematics,176,First computer algorithm,1959,Male,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Ph.D. (honorary),Foundational work in quantum mechanics
Nikola Tesla,USA,Astronomy,188,Theory of Evolution,1997,Male,Theory of Electromagnetism,Nobel Prize,University of Pisa,Discovery of electromagnetic induction
Stephen Hawking,USA,Astronomy,175,Father of Computer Science,1977,Female,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D.,Foundation of classical mechanics
Ada Lovelace,UK,Engineering,136,Nuclear Reactor,1952,Male,A Brief History of Time,N/A,Ph.D. in Chemistry,Laid the groundwork for modern computing
Marie Curie,USA,Mathematics,166,Laws of Motion,1993,Female,Research on radioactivity,Copley Medal,Ph.D.,Nuclear physics and reactor development
Galileo Galilei,UK,Physics,167,Quantum Theory,1907,Female,Penrose Diagram,Nobel Prize,University of Pisa,Wave mechanics in quantum physics
Richard Feynman,USA,Physics,184,Wave Equation,1933,Female,Cosmos,Nobel Prize,Ph.D.,Popularizing science and cosmology
Roger Penrose,UK,Mathematics,162,Electromagnetic Theory,1909,Female,On Computable Numbers,Nobel Prize,Self-taught,Foundation of classical mechanics
Enrico Fermi,Italy,Physics,132,"AC Electricity, Tesla Coil",1934,Male,Dirac Equation,Royal Medal,University of Cambridge,Foundational work in quantum mechanics
Isaac Newton,UK,Physics,195,Wave Equation,1973,Male,On the Origin of Species,Nobel Prize,Ph.D. in Chemistry,Laid the groundwork for modern computing
Michael Faraday,USA,Physics,156,Quantum Mechanics,1957,Female,Penrose Diagram,Nobel Prize,Ph.D. in Physics,Early pioneer of computer science
Charles Darwin,UK,Chemistry,195,Quantum Theory,1991,Female,Feynman Lectures,N/A,University of Pisa,Unified theory of electromagnetism
Erwin Schrödinger,USA,Physics,138,General Theory of Relativity,1971,Female,Dirac Equation,Nobel Prize,Ph.D. (honorary),Popularizing science and cosmology
Charles Darwin,Italy,Physics,190,Quantum Electrodynamics,1971,Male,Bohr Model,N/A,Self-taught,Wave mechanics in quantum physics
Isaac Newton,Italy,Astronomy,136,Theory of Evolution,1908,Female,Fermi Paradox,Nobel Prize,Ph.D. in Physics,Discovery of electromagnetic induction
Nikola Tesla,Italy,Engineering,170,Quantum Mechanics,1906,Female,Feynman Lectures,Nobel Prize,Self-taught,Pioneering research in radioactivity
Galileo Galilei,USA,Polymath,187,Electromagnetic Theory,1915,Male,Feynman Lectures,Copley Medal,Ph.D. in Physics,Pioneering research in radioactivity
Enrico Fermi,UK,Mathematics,131,Black Hole Theory,1902,Male,E=mc²,N/A,Ph.D. in Physics,Early pioneer of computer science
Alan Turing,UK,Physics,142,Theory of Relativity,1903,Male,Schrödinger Equation,Nobel Prize,Ph.D. (honorary),Wave mechanics in quantum physics
Ada Lovelace,USA,Physics,144,First computer algorithm,1967,Male,Fermi Paradox,N/A,Ph.D. in Mathematics,Unified theory of electromagnetism
Isaac Newton,USA,Physics,198,Father of Computer Science,1980,Male,Research on radioactivity,Pulitzer Prize,Ph.D. in Mathematics,Discovery of electromagnetic induction
Marie Curie,UK,Astronomy,196,Nuclear Reactor,1942,Female,Quantum Theory,N/A,Ph.D. in Physics,Laid the groundwork for modern computing
Michael Faraday,Italy,Chemistry,183,Theory of Evolution,1947,Male,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Chemistry,Foundation of classical mechanics
Erwin Schrödinger,UK,Polymath,130,Quantum Electrodynamics,1997,Female,E=mc²,Pulitzer Prize,University of Pisa,Iconic Renaissance artist and inventor
Erwin Schrödinger,USA,Physics,137,Discovery of Radium and Polonium,1908,Male,Various Patents,Copley Medal,Ph.D. in Physics,Foundational work in quantum mechanics
Michael Faraday,UK,Physics,158,Nuclear Reactor,1985,Female,Fermi Paradox,Royal Medal,Ph.D. in Chemistry,Unified theory of electromagnetism
Enrico Fermi,Germany,Mathematics,194,First computer algorithm,1966,Male,Quantum Theory,Nobel Prize,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Leonardo da Vinci,USA,Chemistry,140,Heliocentric Theory,1923,Male,Fermi Paradox,N/A,Self-taught,Nuclear physics and reactor development
Albert Einstein,Austria,Mathematics,152,Heliocentric Theory,1926,Male,Research on radioactivity,Nobel Prize,Ph.D. in Mathematics,Foundational work in quantum mechanics
Carl Sagan,USA,Physics,157,"Mona Lisa, The Last Supper, Inventions",1989,Female,Bohr Model,Nobel Prize,Ph.D. in Physics,Nuclear physics and reactor development
Ada Lovelace,UK,Physics,156,Quantum Electrodynamics,1979,Male,Theory of Electromagnetism,N/A,University of Pisa,Quantum electrodynamics and physics teaching
Nikola Tesla,USA,Physics,155,Father of Computer Science,1938,Female,Vitruvian Man,Nobel Prize,Ph.D. in Chemistry,Penrose's work on black holes and cosmology
Roger Penrose,France,Physics,141,Quantum Electrodynamics,1958,Male,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D.,Foundational work in quantum mechanics
Enrico Fermi,UK,Astronomy,133,Theory of Relativity,1979,Male,Fermi Paradox,Copley Medal,Ph.D. in Mathematics,Unified theory of electromagnetism
Marie Curie,UK,Physics,170,Quantum Electrodynamics,1960,Female,Various Patents,Nobel Prize,University of Pisa,Laid the groundwork for modern computing
Galileo Galilei,UK,Physics,156,First computer algorithm,1901,Male,Penrose Diagram,Numerous Honors,Ph.D. in Chemistry,Unified theory of electromagnetism
Michael Faraday,Italy,Physics,156,"Mona Lisa, The Last Supper, Inventions",1927,Female,Theory of Electromagnetism,N/A,Ph.D. in Physics,Major advancements in astronomy
James Clerk Maxwell,UK,Mathematics,168,First computer algorithm,1926,Male,Feynman Lectures,Numerous Honors,Ph.D. in Physics,Developed quantum theory
Paul Dirac,Germany,Biology,179,Heliocentric Theory,1957,Female,Schrödinger Equation,Two Nobel Prizes,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Nikola Tesla,USA,Mathematics,198,Discovery of Radium and Polonium,1934,Male,On the Origin of Species,Two Nobel Prizes,Ph.D. in Physics,Unified theory of electromagnetism
Michael Faraday,UK,Physics,164,Heliocentric Theory,1937,Male,Bohr Model,Numerous Posthumous,Ph.D. in Physics,Discovery of electromagnetic induction
Paul Dirac,France,Mathematics,132,Theory of Evolution,1919,Female,Research on radioactivity,N/A,Ph.D. in Mathematics,Wave mechanics in quantum physics
James Clerk Maxwell,UK,Physics,143,Cosmos Series,1924,Male,Penrose Diagram,N/A,Ph.D. in Chemistry,Foundational work in quantum mechanics
Erwin Schrödinger,UK,Biology,181,Quantum Mechanics,1996,Male,On the Origin of Species,N/A,Ph.D. (honorary),Revolutionized modern physics
Niels Bohr,UK,Physics,176,Quantum Electrodynamics,1923,Male,Bohr Model,Numerous Honors,Ph.D. in Astronomy,Popularizing science and cosmology
Niels Bohr,Italy,Mathematics,150,Electromagnetic Induction,1932,Female,Quantum Theory,Nobel Prize,University of Pisa,Developed quantum theory
Niels Bohr,UK,Biology,167,Black Hole Theory,1930,Male,A Brief History of Time,N/A,Ph.D. (honorary),Wave mechanics in quantum physics
Leonardo da Vinci,France,Physics,166,Nuclear Reactor,1901,Female,Notes on the Analytical Engine,Numerous Honors,Ph.D. in Chemistry,Evolutionary biology pioneer
Alan Turing,UK,Physics,145,Theory of Evolution,1955,Female,Dialogue Concerning the Two Chief World Systems,Copley Medal,Ph.D. in Physics,Developed quantum theory
Roger Penrose,Denmark,Physics,190,Quantum Mechanics,1948,Male,Theory of Electromagnetism,Nobel Prize,Ph.D.,Early pioneer of computer science
Leonardo da Vinci,Italy,Physics,166,Quantum Electrodynamics,1902,Female,Various Patents,N/A,Ph.D. in Mathematics,Popularizing science and cosmology
Isaac Newton,Austria,Engineering,172,Cosmos Series,1909,Male,Schrödinger Equation,Two Nobel Prizes,Self-taught,Major advancements in astronomy
Charles Darwin,Germany,Physics,179,Quantum Mechanics,1977,Female,Discovery of Electromagnetic Induction,Two Nobel Prizes,Ph.D. in Mathematics,Penrose's work on black holes and cosmology
Isaac Newton,USA,Engineering,131,Theory of Relativity,1955,Male,A Brief History of Time,Pulitzer Prize,Ph.D. in Mathematics,Early pioneer of computer science
Isaac Newton,UK,Astronomy,140,General Theory of Relativity,1970,Male,Schrödinger Equation,N/A,Ph.D. in Chemistry,Foundation of classical mechanics
James Clerk Maxwell,UK,Mathematics,149,Quantum Mechanics,1956,Male,On Computable Numbers,Copley Medal,Ph.D. in Physics,Major advancements in astronomy
Roger Penrose,Germany,Physics,185,First computer algorithm,1918,Female,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. in Astronomy,Discovery of electromagnetic induction
Roger Penrose,Italy,Physics,184,Quantum Mechanics,1946,Male,Various Patents,N/A,Ph.D. in Chemistry,Popularizing science and cosmology
Max Planck,UK,Chemistry,197,"Mona Lisa, The Last Supper, Inventions",1960,Female,Feynman Lectures,Numerous Honors,Ph.D.,Inventor and electrical engineering pioneer
Albert Einstein,Italy,Astronomy,199,Quantum Mechanics,1973,Female,Fermi Paradox,Nobel Prize,Ph.D. in Physics,Developed quantum theory
Erwin Schrödinger,Italy,Physics,185,Heliocentric Theory,1917,Male,Dirac Equation,Two Nobel Prizes,University of Cambridge,Quantum electrodynamics and physics teaching
Michael Faraday,USA,Physics,159,Quantum Mechanics,1914,Male,On Computable Numbers,Nobel Prize,Self-taught,Foundation of classical mechanics
Erwin Schrödinger,USA,Mathematics,153,"AC Electricity, Tesla Coil",1923,Male,Cosmos,N/A,Ph.D. (honorary),Revolutionized modern physics
Richard Feynman,UK,Physics,182,Electromagnetic Theory,1904,Male,Cosmos,Numerous Honors,Ph.D. in Chemistry,Foundational work in quantum mechanics
Stephen Hawking,UK,Physics,160,Cosmos Series,1966,Female,Cosmos,N/A,Ph.D. in Physics,Inventor and electrical engineering pioneer
Nikola Tesla,UK,Mathematics,130,Quantum Mechanics,1911,Female,E=mc²,Pulitzer Prize,Ph.D. in Mathematics,Foundation of classical mechanics
James Clerk Maxwell,UK,Mathematics,172,Quantum Mechanics,1969,Female,Various Patents,N/A,Ph.D. in Physics,Popularizing science and cosmology
Niels Bohr,UK,Physics,139,Black Hole Theory,1988,Male,Bohr Model,Pulitzer Prize,Self-taught,Foundational work in quantum mechanics
Leonardo da Vinci,UK,Mathematics,144,Quantum Theory,1983,Male,Dirac Equation,Numerous Honors,Ph.D. in Physics,Revolutionized modern physics
Michael Faraday,UK,Physics,154,Father of Computer Science,1952,Female,Notes on the Analytical Engine,Numerous Honors,Ph.D. in Physics,Wave mechanics in quantum physics
Erwin Schrödinger,Italy,Engineering,166,Quantum Mechanics,1983,Male,Various Patents,N/A,University of Cambridge,Foundational work in quantum mechanics
Paul Dirac,Italy,Physics,188,Theory of Relativity,1991,Male,Discovery of Electromagnetic Induction,Nobel Prize,Self-taught,Early pioneer of computer science
Charles Darwin,Germany,Mathematics,136,Laws of Motion,1909,Male,Theory of Electromagnetism,Nobel Prize,Ph.D. in Physics,Early pioneer of computer science
Niels Bohr,Austria,Mathematics,177,Quantum Mechanics,1942,Male,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Physics,Wave mechanics in quantum physics
Ada Lovelace,UK,Mathematics,149,"AC Electricity, Tesla Coil",1940,Male,Quantum Theory,N/A,Ph.D. in Chemistry,Early pioneer of computer science
